name,phone_number,address,city_zip
Ad,,,
Ad,,,
Ad,,,
Crescent  City Steak House LOUISIANA,(504) 508-5678,1001 N Broad St,"New Orleans, LA 70119"
Roberts Gumbo Shop,(504) 525-1486,630 Saint Peters Street,"New Orleans, LA 70116"
The Original Italian Pie,(504) 867-6772,417 S Rampart St,"New Orleans, LA 70112"
Deja Vu Restaurant & Bar,(504) 523-1931,400 Dauphine St,"New Orleans, LA 70112"
Crillo Restaurant,(504) 523-3341,214 Royal St,"New Orleans, LA 70130"
Pho Cam Ly,(504) 644-4228,MAGAZINE St,"New Orleans, LA 70115"
Big Fisherman Seafood,(504) 897-9907,3301 Magazine St,"New Orleans, LA 70115"
Pho Orchid Uptown,(504) 609-3710,2315 Saint Charles Ave,"New Orleans, LA 70130"
Commander's Palace,(504) 899-8221,1403 Washington Ave,"New Orleans, LA 70130"
Acme Oyster House,(504) 522-5973,724 Iberville St,"New Orleans, LA 70130"
Mother's Restaurant,(504) 523-9656,401 Poydras St,"New Orleans, LA 70130"
Oceana Grill,(504) 525-6002,739 Conti St,"New Orleans, LA 70130"
Clover Grill,(504) 598-1010,900 Bourbon St,"New Orleans, LA 70116"
The Star Steak & Lobster House,(504) 525-6151,237 Decatur St,"New Orleans, LA 70130"
Domenica,(504) 648-6020,123 Baronne St,"New Orleans, LA 70112"
Arnaud's Restaurant,(504) 523-5433,813 Bienville St,"New Orleans, LA 70112"
Mandina's Restaurant,(504) 482-9179,3800 Canal St,"New Orleans, LA 70119"
Antoine's Restaurant,(504) 581-4422,713 Saint Louis St,"New Orleans, LA 70130"
Lucy's Retired Surfers Bar & Restaurant,(504) 523-8995,701 Tchoupitoulas St,"New Orleans, LA 70130"
Pere Antoine Restaurant,(504) 581-4478,741 Royal St,"New Orleans, LA 70116"
Le Bayou Restaurant,(504) 525-4755,503 Bourbon St,"New Orleans, LA 70130"
Casamento's Restaurant,(504) 895-9761,4330 Magazine St,"New Orleans, LA 70115"
Jaeger's Seafood and Oyster House,(504) 818-2200,901 S Clearview Pkwy,"New Orleans, LA 70121"
Applebee's,(504) 361-9700,4005 General Degaulle Dr,"New Orleans, LA 70114"
Steak Knife Restaurant The,(504) 488-8981,888 Harrison Ave,"New Orleans, LA 70124"
Deanie's Seafood Restaurant,(504) 581-1316,841 Iberville St,"New Orleans, LA 70112"
Tony Angello's Restaurant,(504) 488-0888,6262 Fleur De Lis Dr,"New Orleans, LA 70124"
Superior Seafood,(504) 293-3474,4338 Saint Charles Ave,"New Orleans, LA 70115"
Latrobe's On Royal,(504) 299-0601,403 Royal St,"New Orleans, LA 70130"
Elizabeth's Restaurant,(504) 944-9272,601 Gallier St,"New Orleans, LA 70117"
Ad,,,
Ad,,,
Ad,,,
Crescent  City Steak House LOUISIANA,(504) 508-5678,1001 N Broad St,"New Orleans, LA 70119"
Roberts Gumbo Shop,(504) 525-1486,630 Saint Peters Street,"New Orleans, LA 70116"
The Original Italian Pie,(504) 867-6772,417 S Rampart St,"New Orleans, LA 70112"
Deja Vu Restaurant & Bar,(504) 523-1931,400 Dauphine St,"New Orleans, LA 70112"
Crillo Restaurant,(504) 523-3341,214 Royal St,"New Orleans, LA 70130"
Pho Cam Ly,(504) 644-4228,MAGAZINE St,"New Orleans, LA 70115"
Big Fisherman Seafood,(504) 897-9907,3301 Magazine St,"New Orleans, LA 70115"
Pho Orchid Uptown,(504) 609-3710,2315 Saint Charles Ave,"New Orleans, LA 70130"
Commander's Palace,(504) 899-8221,1403 Washington Ave,"New Orleans, LA 70130"
Acme Oyster House,(504) 522-5973,724 Iberville St,"New Orleans, LA 70130"
Mother's Restaurant,(504) 523-9656,401 Poydras St,"New Orleans, LA 70130"
Oceana Grill,(504) 525-6002,739 Conti St,"New Orleans, LA 70130"
Clover Grill,(504) 598-1010,900 Bourbon St,"New Orleans, LA 70116"
The Star Steak & Lobster House,(504) 525-6151,237 Decatur St,"New Orleans, LA 70130"
Domenica,(504) 648-6020,123 Baronne St,"New Orleans, LA 70112"
Arnaud's Restaurant,(504) 523-5433,813 Bienville St,"New Orleans, LA 70112"
Mandina's Restaurant,(504) 482-9179,3800 Canal St,"New Orleans, LA 70119"
Antoine's Restaurant,(504) 581-4422,713 Saint Louis St,"New Orleans, LA 70130"
Lucy's Retired Surfers Bar & Restaurant,(504) 523-8995,701 Tchoupitoulas St,"New Orleans, LA 70130"
Pere Antoine Restaurant,(504) 581-4478,741 Royal St,"New Orleans, LA 70116"
Le Bayou Restaurant,(504) 525-4755,503 Bourbon St,"New Orleans, LA 70130"
Casamento's Restaurant,(504) 895-9761,4330 Magazine St,"New Orleans, LA 70115"
Jaeger's Seafood and Oyster House,(504) 818-2200,901 S Clearview Pkwy,"New Orleans, LA 70121"
Applebee's,(504) 361-9700,4005 General Degaulle Dr,"New Orleans, LA 70114"
Steak Knife Restaurant The,(504) 488-8981,888 Harrison Ave,"New Orleans, LA 70124"
Deanie's Seafood Restaurant,(504) 581-1316,841 Iberville St,"New Orleans, LA 70112"
Tony Angello's Restaurant,(504) 488-0888,6262 Fleur De Lis Dr,"New Orleans, LA 70124"
Superior Seafood,(504) 293-3474,4338 Saint Charles Ave,"New Orleans, LA 70115"
Latrobe's On Royal,(504) 299-0601,403 Royal St,"New Orleans, LA 70130"
Elizabeth's Restaurant,(504) 944-9272,601 Gallier St,"New Orleans, LA 70117"
Ad,,,
Ad,,,
Ad,,,
Commander's Palace,(504) 899-8221,1403 Washington Ave,"New Orleans, LA 70130"
Cafe Du Monde,(504) 525-4544,800 Decatur St,"New Orleans, LA 70116"
Acme Oyster House,(504) 522-5973,724 Iberville St,"New Orleans, LA 70130"
Port of Call,(504) 523-0120,838 Esplanade Ave,"New Orleans, LA 70116"
Irene's Cuisine,(504) 529-8811,539 Saint Philip St,"New Orleans, LA 70116"
Jacques-Imo's Cafe,(504) 861-0886,8324 Oak St,"New Orleans, LA 70118"
Oceana Grill,(504) 525-6002,739 Conti St,"New Orleans, LA 70130"
Restaurant August,(504) 299-9777,301 Tchoupitoulas St,"New Orleans, LA 70130"
Nola Restaurant,(504) 522-6652,534 Saint Louis St,"New Orleans, LA 70130"
Atchafalaya Restaurant,(504) 891-9626,901 Louisiana Ave,"New Orleans, LA 70115"
GW Fins,(504) 581-3467,808 Bienville St,"New Orleans, LA 70112"
Red Fish Grill,(504) 598-1200,115 Bourbon St,"New Orleans, LA 70130"
Dickie Brennan's Steakhouse,(504) 522-2467,716 Iberville St,"New Orleans, LA 70130"
Willie Mae's Scotch House,(504) 822-9503,2401 Saint Ann St,"New Orleans, LA 70119"
Elizabeth's Restaurant,(504) 944-9272,601 Gallier St,"New Orleans, LA 70117"
Herbsaint,(504) 524-4114,701 Saint Charles Ave,"New Orleans, LA 70130"
Bennachin Restaurant,(504) 522-6746,1212 Royal St,"New Orleans, LA 70116"
Mother's Restaurant,(504) 523-9656,401 Poydras St,"New Orleans, LA 70130"
The Joint,(504) 949-3232,701 Mazant St,"New Orleans, LA 70117"
District Donuts Sliders Brew,(504) 570-6945,2209 Magazine St,"New Orleans, LA 70130"
Roberts Gumbo Shop,(504) 525-1486,630 Saint Peters Street,"New Orleans, LA 70116"
Vincent's Italian Cuisine,(504) 866-9313,7839 Saint Charles Ave,"New Orleans, LA 70118"
Sukho Thai,(504) 373-6471,4519 Magazine St,"New Orleans, LA 70115"
Coop's Place,(504) 525-9053,1109 Decatur St,"New Orleans, LA 70116"
Restaurant R'evolution,(504) 553-2277,777 Bienville St,"New Orleans, LA 70130"
Mandina's Restaurant,(504) 482-9179,3800 Canal St,"New Orleans, LA 70119"
Bayona,(504) 525-4455,430 Dauphine St,"New Orleans, LA 70112"
Coquette,(504) 265-0421,2800 Magazine St,"New Orleans, LA 70115"
Commerce Restaurant,(504) 561-9239,300 Camp St,"New Orleans, LA 70130"
Doris Metropolitan,(504) 267-3500,620 Chartres St,"New Orleans, LA 70130"
Village Inn,(504) 737-4610,9201 Jefferson Hwy,"New Orleans, LA 70123"
Mimi's In the Marigny,(504) 872-9868,2601 Royal St,"New Orleans, LA 70117"
Slice Pizzeria - Magazine St,(504) 897-4800,5538 Magazine St,"New Orleans, LA 70115"
Koz's Deli,(504) 484-0841,515 Harrison Ave,"New Orleans, LA 70124"
Grand Isle Restaurant,(504) 520-8530,575 Convention Center Blvd,"New Orleans, LA 70130"
Two Tony's,(504) 282-0801,8536 Pontchartrain Blvd,"New Orleans, LA 70124"
Anita's Restaurant,(504) 523-1542,2122 Tulane Ave,"New Orleans, LA 70112"
Galatoire's Restaurant,(504) 525-2021,209 Bourbon St,"New Orleans, LA 70130"
Pelican Club,(504) 523-1504,312 Exchange Pl,"New Orleans, LA 70130"
Sukho Thai,(504) 948-9309,2200 Royal St,"New Orleans, LA 70117"
House of Blues Restaurant & Bar,(504) 310-4999,225 Decatur St,"New Orleans, LA 70130"
*Tujague's Restaurant,(504) 525-8676,823 Decatur St,"New Orleans, LA 70116"
Pascal's Manale Restaurant,(504) 895-4877,1838 Napoleon Ave,"New Orleans, LA 70115"
Kyoto Two,(504) 818-0228,5608 Citrus Blvd,"New Orleans, LA 70123"
Pepperoni's Cafe,(504) 865-0336,8123 Hampson St,"New Orleans, LA 70118"
New York Pizza,(504) 891-2376,4418 Magazine St,"New Orleans, LA 70115"
Jade Buddha Chinese Restaurant,(504) 818-1110,4433 Jefferson Hwy,"New Orleans, LA 70121"
Ugly Dog Saloon and BBQ,(504) 569-8459,401 Andrew Higgins Dr,"New Orleans, LA 70130"
Rampart Food Store,(504) 944-7777,1700 N Rampart St,"New Orleans, LA 70116"
Cafe Pontalba,(504) 522-1180,546 Saint Peter St,"New Orleans, LA 70116"
Landry's Seafood,(504) 558-0038,400 N Peters St,"New Orleans, LA 70130"
Dave & Buster's,(504) 226-3300,1200 Poydras St Unit 601,"New Orleans, LA 70113"
Saints and Sinners,(504) 528-9307,627 Bourbon St,"New Orleans, LA 70130"
V Sushi and Martini,(504) 729-8032,821 Iberville St,"New Orleans, LA 70112"
El Paso Mexican Grill,(504) 309-8833,3010 Holiday Dr,"New Orleans, LA 70131"
Seither's Seafood,(504) 738-1116,279 Hickory Ave,"New Orleans, LA 70123"
The Sweet Life Bakery,(504) 371-5153,6268 Vicksburg St,"New Orleans, LA 70124"
Sake Cafe,(504) 733-8879,1130 S Clearview Pkwy,"New Orleans, LA 70123"
Sushi Brothers,(504) 581-4449,1612 Saint Charles Ave,"New Orleans, LA 70130"
The Original French Market Restaurant and Bar,(504) 525-7879,1001 Decatur St,"New Orleans, LA 70116"
Ad,,,
Ad,,,
Ad,,,
Crescent  City Steak House LOUISIANA,(504) 508-5678,1001 N Broad St,"New Orleans, LA 70119"
Roberts Gumbo Shop,(504) 525-1486,630 Saint Peters Street,"New Orleans, LA 70116"
The Original Italian Pie,(504) 867-6772,417 S Rampart St,"New Orleans, LA 70112"
Deja Vu Restaurant & Bar,(504) 523-1931,400 Dauphine St,"New Orleans, LA 70112"
Crillo Restaurant,(504) 523-3341,214 Royal St,"New Orleans, LA 70130"
Pho Cam Ly,(504) 644-4228,MAGAZINE St,"New Orleans, LA 70115"
Big Fisherman Seafood,(504) 897-9907,3301 Magazine St,"New Orleans, LA 70115"
Pho Orchid Uptown,(504) 609-3710,2315 Saint Charles Ave,"New Orleans, LA 70130"
Commander's Palace,(504) 899-8221,1403 Washington Ave,"New Orleans, LA 70130"
Acme Oyster House,(504) 522-5973,724 Iberville St,"New Orleans, LA 70130"
Mother's Restaurant,(504) 523-9656,401 Poydras St,"New Orleans, LA 70130"
Oceana Grill,(504) 525-6002,739 Conti St,"New Orleans, LA 70130"
Clover Grill,(504) 598-1010,900 Bourbon St,"New Orleans, LA 70116"
The Star Steak & Lobster House,(504) 525-6151,237 Decatur St,"New Orleans, LA 70130"
Domenica,(504) 648-6020,123 Baronne St,"New Orleans, LA 70112"
Arnaud's Restaurant,(504) 523-5433,813 Bienville St,"New Orleans, LA 70112"
Mandina's Restaurant,(504) 482-9179,3800 Canal St,"New Orleans, LA 70119"
Antoine's Restaurant,(504) 581-4422,713 Saint Louis St,"New Orleans, LA 70130"
Lucy's Retired Surfers Bar & Restaurant,(504) 523-8995,701 Tchoupitoulas St,"New Orleans, LA 70130"
Pere Antoine Restaurant,(504) 581-4478,741 Royal St,"New Orleans, LA 70116"
Le Bayou Restaurant,(504) 525-4755,503 Bourbon St,"New Orleans, LA 70130"
Casamento's Restaurant,(504) 895-9761,4330 Magazine St,"New Orleans, LA 70115"
Jaeger's Seafood and Oyster House,(504) 818-2200,901 S Clearview Pkwy,"New Orleans, LA 70121"
Applebee's,(504) 361-9700,4005 General Degaulle Dr,"New Orleans, LA 70114"
Steak Knife Restaurant The,(504) 488-8981,888 Harrison Ave,"New Orleans, LA 70124"
Deanie's Seafood Restaurant,(504) 581-1316,841 Iberville St,"New Orleans, LA 70112"
Tony Angello's Restaurant,(504) 488-0888,6262 Fleur De Lis Dr,"New Orleans, LA 70124"
Superior Seafood,(504) 293-3474,4338 Saint Charles Ave,"New Orleans, LA 70115"
Latrobe's On Royal,(504) 299-0601,403 Royal St,"New Orleans, LA 70130"
Elizabeth's Restaurant,(504) 944-9272,601 Gallier St,"New Orleans, LA 70117"
Ad,,,
Ad,,,
Ad,,,
Crescent  City Steak House LOUISIANA,(504) 508-5678,1001 N Broad St,"New Orleans, LA 70119"
Roberts Gumbo Shop,(504) 525-1486,630 Saint Peters Street,"New Orleans, LA 70116"
The Original Italian Pie,(504) 867-6772,417 S Rampart St,"New Orleans, LA 70112"
Deja Vu Restaurant & Bar,(504) 523-1931,400 Dauphine St,"New Orleans, LA 70112"
Crillo Restaurant,(504) 523-3341,214 Royal St,"New Orleans, LA 70130"
Pho Cam Ly,(504) 644-4228,MAGAZINE St,"New Orleans, LA 70115"
Big Fisherman Seafood,(504) 897-9907,3301 Magazine St,"New Orleans, LA 70115"
Pho Orchid Uptown,(504) 609-3710,2315 Saint Charles Ave,"New Orleans, LA 70130"
Commander's Palace,(504) 899-8221,1403 Washington Ave,"New Orleans, LA 70130"
Acme Oyster House,(504) 522-5973,724 Iberville St,"New Orleans, LA 70130"
Mother's Restaurant,(504) 523-9656,401 Poydras St,"New Orleans, LA 70130"
Oceana Grill,(504) 525-6002,739 Conti St,"New Orleans, LA 70130"
Clover Grill,(504) 598-1010,900 Bourbon St,"New Orleans, LA 70116"
The Star Steak & Lobster House,(504) 525-6151,237 Decatur St,"New Orleans, LA 70130"
Domenica,(504) 648-6020,123 Baronne St,"New Orleans, LA 70112"
Arnaud's Restaurant,(504) 523-5433,813 Bienville St,"New Orleans, LA 70112"
Mandina's Restaurant,(504) 482-9179,3800 Canal St,"New Orleans, LA 70119"
Antoine's Restaurant,(504) 581-4422,713 Saint Louis St,"New Orleans, LA 70130"
Lucy's Retired Surfers Bar & Restaurant,(504) 523-8995,701 Tchoupitoulas St,"New Orleans, LA 70130"
Pere Antoine Restaurant,(504) 581-4478,741 Royal St,"New Orleans, LA 70116"
Le Bayou Restaurant,(504) 525-4755,503 Bourbon St,"New Orleans, LA 70130"
Casamento's Restaurant,(504) 895-9761,4330 Magazine St,"New Orleans, LA 70115"
Jaeger's Seafood and Oyster House,(504) 818-2200,901 S Clearview Pkwy,"New Orleans, LA 70121"
Applebee's,(504) 361-9700,4005 General Degaulle Dr,"New Orleans, LA 70114"
Steak Knife Restaurant The,(504) 488-8981,888 Harrison Ave,"New Orleans, LA 70124"
Deanie's Seafood Restaurant,(504) 581-1316,841 Iberville St,"New Orleans, LA 70112"
Tony Angello's Restaurant,(504) 488-0888,6262 Fleur De Lis Dr,"New Orleans, LA 70124"
Superior Seafood,(504) 293-3474,4338 Saint Charles Ave,"New Orleans, LA 70115"
Latrobe's On Royal,(504) 299-0601,403 Royal St,"New Orleans, LA 70130"
Elizabeth's Restaurant,(504) 944-9272,601 Gallier St,"New Orleans, LA 70117"
Mulate's New Orleans,(504) 522-1492,201 Julia St,"New Orleans, LA 70130"
Walker's Southern Style BBQ,(504) 241-8227,10828 Hayne Blvd,"New Orleans, LA 70127"
Desire Oyster Bar,(504) 586-0300,300 Bourbon St,"New Orleans, LA 70130"
Smashburger,(504) 342-2653,3300 Magazine St,"New Orleans, LA 70115"
Bamboo Restaurant,(415) 775-3679,7136 Downman Rd,"New Orleans, LA 70126"
Louisiana Bistro,(504) 525-3335,337 Dauphine St,"New Orleans, LA 70112"
Big Pie Pizza,(504) 218-8656,407 Baronne St,"New Orleans, LA 70112"
Nola Restaurant,(504) 522-6652,534 Saint Louis St,"New Orleans, LA 70130"
Port of Call,(504) 523-0120,838 Esplanade Ave,"New Orleans, LA 70116"
Napoleon House,(504) 524-9752,500 Chartres St,"New Orleans, LA 70130"
Cafe Maspero,(504) 523-6250,601 Decatur St,"New Orleans, LA 70130"
Emeril's Restaurant,(504) 528-9393,800 Tchoupitoulas St,"New Orleans, LA 70130"
Manning's,(504) 593-8118,519 Fulton St,"New Orleans, LA 70130"
Superior Grill,(504) 899-4200,3636 Saint Charles Ave,"New Orleans, LA 70115"
Olive Branch Cafe,(504) 393-1107,5145 General Degaulle Dr,"New Orleans, LA 70131"
Red Eye Grill,(504) 593-9393,852 S Peters St,"New Orleans, LA 70130"
The Crystal Room,(504) 581-3111,833 Poydras St  Le Pavillon Hotel,"New Orleans, LA 70112"
Sylvain Restaurant,(504) 265-8123,625 Chartres St,"New Orleans, LA 70130"
Russell's Marina Grill,(504) 282-9980,8555 Pontchartrain Blvd,"New Orleans, LA 70124"
Chartres House,(504) 586-8383,601 Chartres St,"New Orleans, LA 70130"
Ernst Cafe,(504) 525-8544,600 S Peters St,"New Orleans, LA 70130"
The Midway On Freret St,(504) 322-2815,4725 Freret St,"New Orleans, LA 70115"
True Cajun Seafood,(504) 948-8998,4400 Saint Claude Ave,"New Orleans, LA 70117"
The Velvet Cactus,(504) 301-2083,6300 Argonne Blvd,"New Orleans, LA 70124"
Slim Goodies Diner,(504) 891-3447,3322 Magazine St,"New Orleans, LA 70115"
Surrey's Cafe & Juice Bar,(504) 524-3828,1418 Magazine St,"New Orleans, LA 70130"
Coquette,(504) 265-0421,2800 Magazine St,"New Orleans, LA 70115"
Olde Nawlins Cookery,(504) 525-4577,205 Bourbon St,"New Orleans, LA 70130"
Vucinovich's Restaurant,(504) 254-5246,4510 Michoud Blvd,"New Orleans, LA 70129"
Bayona,(504) 525-4455,430 Dauphine St,"New Orleans, LA 70112"
